sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3
F;MEN18;U;GT3;T;MAYOR3;MAYOR3;JOB2;JOB2;R1;PADRES;TT1;ST1;NOFALLA;no;yes;yes;no;yes;yes;no;FAMREL1;FT1;GOOUT1;DALC1;WALC1;SANO;PUNTUAL;JALADO;JALADO;JALADO
F;MEN18;U;GT3;T;MENOR3;MENOR3;JOB2;JOB1;R1;PADRES;TT2;ST2;NOFALLA;no;yes;no;yes;yes;yes;no;FAMREL2;FT1;GOOUT1;DALC1;WALC1;MALOGRADO;PUNTUAL;JALADO;APROBADO;APROBADO
M;MEN18;U;LE3;T;MAYOR3;MAYOR3;JOB2;JOB2;R2;PADRES;TT1;ST1;NOFALLA;no;yes;yes;yes;yes;yes;no;FAMREL2;FT1;GOOUT1;DALC1;WALC1;MALOGRADO;PUNTUAL;APROBADO;APROBADO;APROBADO
M;MEN18;U;GT3;T;MAYOR3;MAYOR3;JOB2;JOB1;R2;PADRES;TT1;ST1;NOFALLA;no;yes;yes;no;yes;yes;no;FAMREL2;FT2;GOOUT1;DALC1;WALC1;SANO;PUNTUAL;JALADO;JALADO;APROBADO
M;MEN18;U;GT3;A;MENOR3;MENOR3;JOB1;JOB1;R1;other;TT1;ST2;NOFALLA;no;yes;no;no;yes;yes;yes;FAMREL2;FT2;GOOUT1;DALC1;WALC1;SANO;PUNTUAL;APROBADO;APROBADO;APROBADO
F;MEN18;U;GT3;T;MAYOR3;MAYOR3;JOB2;JOB1;R1;PADRES;TT1;ST1;NOFALLA;no;yes;no;no;yes;yes;no;FAMREL2;FT2;GOOUT2;DALC1;WALC1;SANO;PUNTUAL;APROBADO;APROBADO;APROBADO
F;MEN18;U;GT3;T;MAYOR3;MAYOR3;JOB2;JOB2;R1;PADRES;TT1;ST2;NOFALLA;no;yes;yes;yes;yes;yes;no;FAMREL1;FT1;GOOUT1;DALC1;WALC1;SANO;INPUNTUAL;APROBADO;APROBADO;APROBADO
F;MEN18;U;GT3;T;MAYOR3;MAYOR3;JOB1;JOB1;R1;PADRES;TT2;ST1;NOFALLA;yes;yes;no;yes;yes;no;no;FAMREL2;FT1;GOOUT1;DALC1;WALC1;MALOGRADO;PUNTUAL;JALADO;JALADO;JALADO
M;MEN18;U;GT3;T;MAYOR3;MENOR3;JOB2;JOB2;R2;PADRES;TT1;ST1;FALLA;no;yes;no;yes;yes;yes;no;FAMREL2;FT2;GOOUT2;DALC1;WALC2;MALOGRADO;INPUNTUAL;JALADO;JALADO;JALADO
M;MEN18;U;LE3;T;MAYOR3;MAYOR3;JOB2;JOB1;R1;PADRES;TT1;ST1;NOFALLA;no;no;yes;yes;yes;yes;no;FAMREL1;FT1;GOOUT1;DALC1;WALC1;MALOGRADO;PUNTUAL;JALADO;JALADO;JALADO
M;MEN18;U;GT3;T;MAYOR3;MAYOR3;JOB2;JOB1;R1;PADRES;TT1;ST1;NOFALLA;no;no;no;no;yes;yes;no;FAMREL2;FT2;GOOUT1;DALC1;WALC1;SANO;PUNTUAL;APROBADO;APROBADO;APROBADO
M;MEN18;U;GT3;T;MAYOR3;MAYOR3;JOB2;JOB2;R2;PADRES;TT1;ST1;NOFALLA;no;yes;yes;no;yes;yes;no;FAMREL2;FT2;GOOUT1;DALC1;WALC1;MALOGRADO;PUNTUAL;APROBADO;APROBADO;APROBADO
M;MEN18;U;LE3;T;MAYOR3;MENOR3;JOB2;JOB1;R2;PADRES;TT1;ST1;NOFALLA;no;no;no;yes;yes;yes;no;FAMREL2;FT2;GOOUT1;DALC1;WALC1;MALOGRADO;PUNTUAL;APROBADO;APROBADO;APROBADO
M;MEN18;U;LE3;T;MENOR3;MENOR3;JOB1;JOB1;R1;PADRES;TT1;ST1;NOFALLA;no;yes;no;yes;yes;yes;no;FAMREL2;FT2;GOOUT2;DALC1;WALC2;MALOGRADO;PUNTUAL;APROBADO;APROBADO;APROBADO
F;MEN18;R;GT3;T;MENOR3;MAYOR3;JOB2;JOB2;R2;PADRES;TT1;ST2;NOFALLA;yes;yes;yes;yes;yes;yes;no;FAMREL2;FT1;GOOUT1;DALC1;WALC1;MALOGRADO;PUNTUAL;JALADO;JALADO;JALADO
F;MEN18;U;GT3;T;MENOR3;MENOR3;JOB2;JOB2;R1;PADRES;TT1;ST1;FALLA;no;yes;yes;no;yes;yes;no;FAMREL1;FT1;GOOUT1;DALC1;WALC1;MALOGRADO;INPUNTUAL;JALADO;JALADO;JALADO
M;MEN18;U;GT3;T;MENOR3;MENOR3;JOB1;JOB1;R1;PADRES;TT1;ST1;NOFALLA;no;yes;yes;no;yes;yes;no;FAMREL2;FT1;GOOUT1;DALC1;WALC1;MALOGRADO;PUNTUAL;APROBADO;APROBADO;APROBADO
M;MEN18;U;GT3;T;MAYOR3;MENOR3;JOB2;JOB2;R2;PADRES;TT1;ST1;NOFALLA;no;no;yes;no;yes;yes;no;FAMREL1;FT1;GOOUT2;DALC1;WALC2;SANO;PUNTUAL;APROBADO;APROBADO;APROBADO
M;MEN18;U;LE3;A;MAYOR3;MAYOR3;JOB2;JOB1;R1;PADRES;TT1;ST1;NOFALLA;yes;yes;no;yes;yes;yes;no;FAMREL2;FT1;GOOUT1;DALC1;WALC1;MALOGRADO;PUNTUAL;APROBADO;APROBADO;APROBADO
M;MEN18;U;GT3;T;MAYOR3;MAYOR3;JOB2;JOB2;R1;PADRES;TT1;ST1;NOFALLA;no;yes;yes;yes;yes;yes;yes;FAMREL2;FT2;GOOUT2;DALC2;WALC2;MALOGRADO;INPUNTUAL;JALADO;APROBADO;APROBADO
M;MEN18;U;GT3;T;MAYOR3;MAYOR3;JOB2;JOB2;R1;PADRES;TT1;ST1;NOFALLA;no;yes;yes;no;yes;yes;no;FAMREL2;FT2;GOOUT1;DALC1;WALC2;MALOGRADO;PUNTUAL;JALADO;APROBADO;APROBADO
M;MEN18;U;GT3;T;MAYOR3;MAYOR3;JOB2;JOB2;R1;PADRES;TT1;ST1;NOFALLA;no;yes;no;yes;yes;yes;no;FAMREL2;FT1;GOOUT1;DALC1;WALC1;MALOGRADO;PUNTUAL;APROBADO;APROBADO;APROBADO
M;MEN18;R;GT3;T;MAYOR3;MAYOR3;JOB2;JOB1;R2;PADRES;TT1;ST1;NOFALLA;no;yes;no;yes;yes;yes;yes;FAMREL2;FT2;GOOUT1;DALC1;WALC1;MALOGRADO;PUNTUAL;APROBADO;APROBADO;APROBADO
M;MEN18;U;LE3;T;MAYOR3;MAYOR3;JOB1;JOB1;R2;PADRES;TT1;ST1;NOFALLA;no;no;no;yes;yes;yes;no;FAMREL2;FT1;GOOUT1;DALC1;WALC1;SANO;PUNTUAL;JALADO;JALADO;APROBADO
M;MEN18;U;GT3;T;MAYOR3;MENOR3;JOB1;JOB1;R1;PADRES;TT1;ST1;NOFALLA;no;yes;yes;no;yes;yes;no;FAMREL2;FT2;GOOUT1;DALC1;WALC1;MALOGRADO;PUNTUAL;APROBADO;APROBADO;APROBADO
F;MEN18;U;GT3;T;MENOR3;MAYOR3;JOB1;JOB1;R2;PADRES;TT1;ST1;NOFALLA;no;yes;no;yes;yes;no;no;FAMREL1;FT2;GOOUT1;DALC1;WALC1;MALOGRADO;PUNTUAL;JALADO;JALADO;JALADO
M;MEN18;U;LE3;T;MAYOR3;MAYOR3;JOB2;JOB2;R1;PADRES;TT1;ST2;NOFALLA;no;yes;no;yes;yes;yes;no;FAMREL2;FT2;GOOUT1;DALC1;WALC1;MALOGRADO;PUNTUAL;APROBADO;APROBADO;APROBADO
M;MEN18;R;GT3;A;MAYOR3;MAYOR3;JOB1;JOB2;R1;PADRES;TT1;ST2;NOFALLA;no;yes;no;yes;yes;yes;yes;FAMREL1;FT2;GOOUT1;DALC1;WALC1;MALOGRADO;INPUNTUAL;APROBADO;APROBADO;APROBADO
F;MEN18;R;GT3;T;MAYOR3;MAYOR3;JOB2;JOB2;R2;PADRES;TT1;ST2;NOFALLA;yes;yes;yes;yes;yes;yes;no;FAMREL2;FT1;GOOUT1;DALC1;WALC1;MALOGRADO;PUNTUAL;APROBADO;APROBADO;APROBADO
F;MEN18;R;GT3;T;MENOR3;MENOR3;JOB1;JOB1;R1;PADRES;TT1;ST1;NOFALLA;yes;yes;yes;yes;yes;no;no;FAMREL2;FT1;GOOUT1;DALC1;WALC1;SANO;INPUNTUAL;APROBADO;APROBADO;APROBADO
F;MEN18;U;LE3;T;MENOR3;MENOR3;JOB1;JOB1;R1;PADRES;TT1;ST1;FALLA;no;yes;no;yes;yes;yes;yes;FAMREL1;FT1;GOOUT1;DALC1;WALC1;SANO;INPUNTUAL;JALADO;JALADO;APROBADO
M;MEN18;U;LE3;T;MAYOR3;MAYOR3;JOB2;JOB1;R1;other;TT1;ST1;NOFALLA;no;yes;no;no;yes;yes;yes;FAMREL2;FT2;GOOUT1;DALC1;WALC2;MALOGRADO;INPUNTUAL;APROBADO;APROBADO;APROBADO
M;MEN18;U;GT3;T;MAYOR3;MAYOR3;JOB2;JOB2;R2;PADRES;TT1;ST1;NOFALLA;no;yes;no;yes;yes;yes;no;FAMREL2;FT1;GOOUT1;DALC1;WALC1;MALOGRADO;PUNTUAL;APROBADO;APROBADO;APROBADO
M;MEN18;U;GT3;T;MENOR3;MENOR3;JOB2;JOB2;R2;PADRES;TT1;ST1;NOFALLA;yes;yes;no;no;yes;yes;no;FAMREL2;FT2;GOOUT1;DALC1;WALC1;SANO;PUNTUAL;JALADO;JALADO;APROBADO
F;MEN18;U;LE3;T;MENOR3;MENOR3;JOB1;JOB1;R2;PADRES;TT1;ST1;FALLA;yes;no;no;yes;yes;yes;no;FAMREL2;FT1;GOOUT1;DALC1;WALC1;MALOGRADO;INPUNTUAL;JALADO;JALADO;JALADO
F;MEN18;U;LE3;A;MAYOR3;MAYOR3;JOB1;JOB1;R2;PADRES;TT1;ST1;NOFALLA;yes;yes;yes;yes;yes;yes;yes;FAMREL2;FT1;GOOUT1;DALC1;WALC1;MALOGRADO;INPUNTUAL;JALADO;JALADO;JALADO
F;MEN18;U;LE3;A;MAYOR3;MAYOR3;JOB1;JOB2;R1;PADRES;TT1;ST1;NOFALLA;no;yes;no;no;yes;yes;no;FAMREL1;FT1;GOOUT2;DALC1;WALC2;SANO;INPUNTUAL;APROBADO;APROBADO;APROBADO
M;MEN18;U;GT3;T;MAYOR3;MAYOR3;JOB2;JOB2;R1;PADRES;TT1;ST2;NOFALLA;no;no;no;yes;yes;yes;no;FAMREL2;FT1;GOOUT1;DALC1;WALC1;SANO;PUNTUAL;APROBADO;APROBADO;APROBADO
M;MEN18;U;GT3;T;MAYOR3;MENOR3;JOB2;JOB1;R1;PADRES;TT1;ST1;NOFALLA;no;yes;yes;no;yes;no;no;FAMREL2;FT1;GOOUT1;DALC1;WALC1;MALOGRADO;PUNTUAL;APROBADO;APROBADO;APROBADO
F;MEN18;U;GT3;T;MAYOR3;MAYOR3;JOB2;JOB2;R2;PADRES;TT1;ST1;FALLA;yes;yes;no;yes;yes;yes;no;FAMREL2;FT2;GOOUT2;DALC1;WALC1;SANO;PUNTUAL;JALADO;JALADO;JALADO
F;MEN18;U;LE3;T;MENOR3;MENOR3;JOB2;JOB2;R2;PADRES;TT2;ST1;NOFALLA;no;yes;yes;no;yes;yes;no;FAMREL2;FT1;GOOUT1;DALC1;WALC1;MALOGRADO;PUNTUAL;APROBADO;APROBADO;APROBADO
F;MEN18;U;LE3;T;MAYOR3;MENOR3;JOB2;JOB1;R2;PADRES;TT1;ST1;NOFALLA;no;yes;yes;no;yes;yes;no;FAMREL2;FT1;GOOUT1;DALC1;WALC1;MALOGRADO;PUNTUAL;APROBADO;APROBADO;APROBADO
M;MEN18;U;LE3;A;MAYOR3;MENOR3;JOB2;JOB2;R2;PADRES;TT1;ST1;FALLA;no;no;no;no;yes;no;no;FAMREL2;FT2;GOOUT2;DALC1;WALC2;MALOGRADO;INPUNTUAL;APROBADO;APROBADO;JALADO
F;MEN18;U;GT3;T;MAYOR3;MAYOR3;JOB2;JOB2;R2;PADRES;TT1;ST1;NOFALLA;yes;yes;yes;no;yes;yes;no;FAMREL1;FT1;GOOUT2;DALC1;WALC1;MALOGRADO;PUNTUAL;JALADO;JALADO;APROBADO
F;MEN18;U;LE3;A;MAYOR3;MAYOR3;JOB1;JOB1;R2;PADRES;TT1;ST1;NOFALLA;no;no;yes;no;yes;yes;no;FAMREL2;FT1;GOOUT2;DALC2;WALC2;SANO;INPUNTUAL;JALADO;APROBADO;APROBADO
F;MEN18;U;GT3;A;MENOR3;MENOR3;JOB1;JOB1;R2;PADRES;TT1;ST1;NOFALLA;no;no;yes;yes;yes;yes;yes;FAMREL2;FT1;GOOUT2;DALC1;WALC1;SANO;INPUNTUAL;JALADO;JALADO;JALADO
F;MEN18;U;GT3;A;MAYOR3;MAYOR3;JOB2;JOB2;R1;PADRES;TT1;ST1;NOFALLA;no;yes;yes;yes;yes;yes;no;FAMREL2;FT1;GOOUT1;DALC1;WALC1;SANO;PUNTUAL;APROBADO;APROBADO;APROBADO
M;MEN18;U;GT3;T;MAYOR3;MAYOR3;JOB2;JOB2;R1;PADRES;TT1;ST1;NOFALLA;no;yes;no;yes;yes;no;no;FAMREL1;FT1;GOOUT1;DALC1;WALC1;MALOGRADO;PUNTUAL;APROBADO;APROBADO;APROBADO
M;MEN18;U;LE3;T;MENOR3;MENOR3;JOB1;JOB1;R1;PADRES;TT1;ST1;NOFALLA;yes;yes;no;yes;yes;yes;no;FAMREL2;FT1;GOOUT1;DALC1;WALC1;MALOGRADO;PUNTUAL;JALADO;JALADO;JALADO
F;MEN18;U;GT3;T;MAYOR3;MENOR3;JOB2;JOB1;R2;PADRES;TT1;ST1;NOFALLA;no;yes;no;no;yes;yes;no;FAMREL2;FT1;GOOUT1;DALC1;WALC1;MALOGRADO;PUNTUAL;APROBADO;APROBADO;APROBADO
F;MEN18;R;GT3;T;MAYOR3;MAYOR3;JOB2;JOB2;R2;PADRES;TT1;ST1;NOFALLA;no;yes;no;yes;yes;no;no;FAMREL1;FT2;GOOUT2;DALC1;WALC1;MALOGRADO;INPUNTUAL;JALADO;APROBADO;APROBADO
F;MEN18;U;GT3;T;MENOR3;MENOR3;JOB2;JOB2;R2;PADRES;TT2;ST1;NOFALLA;yes;yes;no;yes;yes;yes;yes;FAMREL2;FT2;GOOUT2;DALC2;WALC2;MALOGRADO;INPUNTUAL;JALADO;JALADO;APROBADO
F;MEN18;U;LE3;T;MENOR3;MENOR3;JOB1;JOB2;R1;PADRES;TT1;ST1;NOFALLA;yes;no;no;yes;yes;yes;no;FAMREL2;FT2;GOOUT1;DALC1;WALC1;SANO;PUNTUAL;JALADO;JALADO;JALADO
F;MEN18;U;GT3;T;MAYOR3;MAYOR3;JOB2;JOB2;R1;PADRES;TT1;ST2;NOFALLA;yes;yes;yes;yes;yes;yes;no;FAMREL1;FT2;GOOUT2;DALC1;WALC2;MALOGRADO;PUNTUAL;JALADO;JALADO;JALADO
F;MEN18;U;LE3;T;MAYOR3;MAYOR3;JOB2;JOB2;R1;PADRES;TT1;ST1;NOFALLA;yes;no;no;yes;yes;yes;yes;FAMREL2;FT2;GOOUT2;DALC1;WALC2;SANO;PUNTUAL;JALADO;JALADO;JALADO
F;MEN18;U;LE3;T;MAYOR3;MAYOR3;JOB2;JOB2;R2;PADRES;TT2;ST1;NOFALLA;no;yes;no;yes;yes;yes;no;FAMREL2;FT2;GOOUT1;DALC1;WALC1;SANO;PUNTUAL;APROBADO;APROBADO;APROBADO
M;MEN18;U;GT3;A;MAYOR3;MAYOR3;JOB1;JOB2;R1;PADRES;TT1;ST2;NOFALLA;no;yes;no;yes;yes;yes;yes;FAMREL1;FT1;GOOUT1;DALC2;WALC2;SANO;PUNTUAL;APROBADO;APROBADO;APROBADO
F;MEN18;U;GT3;T;MAYOR3;MENOR3;JOB2;JOB1;R2;PADRES;TT1;ST2;NOFALLA;yes;yes;yes;no;yes;yes;no;FAMREL2;FT1;GOOUT1;DALC1;WALC1;MALOGRADO;PUNTUAL;JALADO;JALADO;JALADO
F;MEN18;R;LE3;T;MENOR3;MENOR3;JOB2;JOB2;R1;PADRES;TT1;ST1;NOFALLA;yes;yes;yes;no;yes;yes;no;FAMREL2;FT1;GOOUT1;DALC1;WALC1;MALOGRADO;PUNTUAL;JALADO;JALADO;JALADO
F;MEN18;R;LE3;T;MAYOR3;MENOR3;JOB1;JOB1;R1;PADRES;TT1;ST2;NOFALLA;no;yes;no;no;yes;yes;no;FAMREL2;FT2;GOOUT1;DALC1;WALC1;SANO;INPUNTUAL;APROBADO;APROBADO;APROBADO
M;MEN18;U;GT3;T;MAYOR3;MENOR3;JOB1;JOB1;R1;PADRES;TT1;ST2;NOFALLA;no;yes;yes;no;yes;yes;no;FAMREL2;FT1;GOOUT1;DALC1;WALC1;MALOGRADO;PUNTUAL;APROBADO;APROBADO;APROBADO
M;MEN18;U;GT3;T;MAYOR3;MENOR3;JOB1;JOB1;R2;PADRES;TT1;ST2;NOFALLA;no;no;no;no;yes;yes;no;FAMREL1;FT1;GOOUT1;DALC1;WALC1;SANO;PUNTUAL;JALADO;JALADO;JALADO
F;MEN18;R;GT3;T;MENOR3;MENOR3;JOB1;JOB1;R1;PADRES;TT1;ST1;FALLA;yes;yes;no;no;yes;yes;yes;FAMREL1;FT1;GOOUT2;DALC1;WALC2;MALOGRADO;PUNTUAL;JALADO;JALADO;JALADO
M;MEN18;U;GT3;T;MAYOR3;MENOR3;JOB1;JOB1;R1;PADRES;TT1;ST1;NOFALLA;no;no;no;yes;yes;no;no;FAMREL2;FT1;GOOUT1;DALC1;WALC1;MALOGRADO;PUNTUAL;APROBADO;APROBADO;APROBADO
F;MEN18;U;GT3;T;MAYOR3;MAYOR3;JOB1;JOB2;R1;PADRES;TT1;ST1;NOFALLA;yes;yes;yes;yes;yes;yes;no;FAMREL2;FT1;GOOUT1;DALC1;WALC2;MALOGRADO;INPUNTUAL;APROBADO;APROBADO;APROBADO
M;MEN18;U;GT3;T;MAYOR3;MAYOR3;JOB2;JOB1;R1;PADRES;TT1;ST1;NOFALLA;no;yes;yes;yes;yes;yes;no;FAMREL2;FT1;GOOUT1;DALC1;WALC1;MALOGRADO;INPUNTUAL;JALADO;JALADO;JALADO
M;MEN18;U;GT3;T;MAYOR3;MENOR3;JOB2;JOB1;R2;PADRES;TT1;ST2;NOFALLA;no;no;no;yes;yes;yes;no;FAMREL1;FT2;GOOUT1;DALC1;WALC1;SANO;INPUNTUAL;APROBADO;APROBADO;JALADO
F;MEN18;U;GT3;T;MENOR3;MENOR3;JOB1;JOB1;R1;PADRES;TT1;ST2;NOFALLA;no;no;yes;no;yes;yes;yes;FAMREL2;FT1;GOOUT1;DALC1;WALC1;SANO;PUNTUAL;APROBADO;APROBADO;APROBADO
M;MEN18;U;GT3;T;MENOR3;MENOR3;JOB1;JOB1;R1;PADRES;TT1;ST1;FALLA;yes;yes;no;yes;no;yes;no;FAMREL2;FT2;GOOUT1;DALC1;WALC1;SANO;PUNTUAL;JALADO;JALADO;JALADO
F;MEN18;U;GT3;T;MAYOR3;MAYOR3;JOB1;JOB1;R2;PADRES;TT1;ST1;NOFALLA;no;yes;no;no;yes;yes;no;FAMREL1;FT2;GOOUT1;DALC1;WALC1;SANO;INPUNTUAL;JALADO;JALADO;JALADO
M;MEN18;U;GT3;T;MENOR3;MAYOR3;JOB1;JOB2;R2;PADRES;TT1;ST1;NOFALLA;yes;yes;yes;yes;yes;yes;yes;FAMREL1;FT1;GOOUT1;DALC1;WALC1;SANO;PUNTUAL;JALADO;APROBADO;APROBADO
M;MEN18;U;GT3;T;MENOR3;MAYOR3;JOB1;JOB1;R1;PADRES;TT1;ST2;NOFALLA;yes;no;yes;no;yes;yes;no;FAMREL2;FT1;GOOUT1;DALC1;WALC1;MALOGRADO;PUNTUAL;APROBADO;JALADO;APROBADO
F;MEN18;U;LE3;T;MAYOR3;MENOR3;JOB2;JOB1;R1;PADRES;TT1;ST1;NOFALLA;no;yes;yes;no;yes;yes;no;FAMREL2;FT2;GOOUT2;DALC1;WALC1;MALOGRADO;INPUNTUAL;JALADO;JALADO;JALADO
M;MEN18;U;LE3;T;MENOR3;MENOR3;JOB2;JOB2;R1;PADRES;TT1;ST1;NOFALLA;no;no;yes;yes;yes;yes;no;FAMREL2;FT1;GOOUT1;DALC1;WALC1;MALOGRADO;PUNTUAL;APROBADO;APROBADO;APROBADO
F;MEN18;U;GT3;T;MENOR3;MENOR3;JOB1;JOB1;R1;PADRES;TT1;ST1;NOFALLA;no;yes;no;yes;yes;yes;no;FAMREL2;FT1;GOOUT1;DALC1;WALC1;MALOGRADO;PUNTUAL;JALADO;JALADO;JALADO
F;MEN18;U;GT3;T;MAYOR3;MAYOR3;JOB2;JOB2;R1;PADRES;TT1;ST1;FALLA;no;no;yes;no;yes;yes;yes;FAMREL2;FT2;GOOUT2;DALC1;WALC1;MALOGRADO;INPUNTUAL;JALADO;JALADO;JALADO
F;MEN18;U;LE3;T;MENOR3;MENOR3;JOB1;JOB1;R2;PADRES;TT1;ST1;NOFALLA;no;yes;no;no;yes;no;no;FAMREL2;FT1;GOOUT2;DALC1;WALC1;SANO;PUNTUAL;JALADO;JALADO;JALADO
F;MEN18;U;GT3;T;MAYOR3;MENOR3;JOB1;JOB1;R1;PADRES;TT1;ST2;NOFALLA;no;yes;no;yes;yes;yes;no;FAMREL2;FT1;GOOUT1;DALC1;WALC1;SANO;PUNTUAL;APROBADO;APROBADO;APROBADO
M;MEN18;U;GT3;T;MENOR3;MENOR3;JOB2;JOB1;R1;PADRES;TT1;ST1;FALLA;no;no;yes;yes;yes;yes;no;FAMREL2;FT2;GOOUT1;DALC1;WALC1;SANO;INPUNTUAL;APROBADO;JALADO;JALADO
M;MEN18;U;LE3;A;MAYOR3;MAYOR3;JOB2;JOB2;R1;PADRES;TT1;ST1;NOFALLA;no;yes;no;no;yes;no;no;FAMREL2;FT1;GOOUT1;DALC1;WALC2;MALOGRADO;INPUNTUAL;JALADO;JALADO;JALADO
F;MEN18;U;GT3;T;MAYOR3;MAYOR3;JOB1;JOB1;R1;PADRES;TT1;ST2;NOFALLA;no;yes;yes;no;yes;yes;yes;FAMREL2;FT1;GOOUT1;DALC1;WALC1;MALOGRADO;PUNTUAL;JALADO;JALADO;JALADO
F;MEN18;U;GT3;T;MAYOR3;MAYOR3;JOB2;JOB1;R1;PADRES;TT1;ST1;NOFALLA;no;no;yes;yes;yes;yes;no;FAMREL2;FT2;GOOUT2;DALC1;WALC1;SANO;PUNTUAL;APROBADO;APROBADO;APROBADO
F;MEN18;U;LE3;T;MAYOR3;MENOR3;JOB1;JOB1;R1;PADRES;TT1;ST1;NOFALLA;yes;yes;no;no;yes;no;no;FAMREL1;FT1;GOOUT1;DALC1;WALC1;SANO;PUNTUAL;JALADO;JALADO;JALADO
F;MEN18;U;GT3;T;MAYOR3;MENOR3;JOB2;JOB2;R1;PADRES;TT1;ST1;NOFALLA;no;yes;yes;yes;yes;yes;no;FAMREL2;FT1;GOOUT1;DALC1;WALC1;SANO;PUNTUAL;APROBADO;JALADO;JALADO
M;MEN18;U;LE3;T;MENOR3;MENOR3;JOB2;JOB2;R1;PADRES;TT1;ST2;NOFALLA;no;yes;no;yes;yes;yes;no;FAMREL2;FT1;GOOUT2;DALC1;WALC1;MALOGRADO;INPUNTUAL;APROBADO;APROBADO;APROBADO
F;MEN18;R;GT3;T;MENOR3;MENOR3;JOB1;JOB1;R1;PADRES;TT1;ST2;FALLA;yes;yes;yes;yes;yes;yes;no;FAMREL1;FT1;GOOUT1;DALC1;WALC1;SANO;PUNTUAL;JALADO;JALADO;JALADO
M;MEN18;R;GT3;T;MAYOR3;MAYOR3;JOB2;JOB1;R1;PADRES;TT1;ST1;NOFALLA;yes;yes;no;yes;yes;yes;no;FAMREL1;FT1;GOOUT1;DALC1;WALC1;MALOGRADO;PUNTUAL;APROBADO;APROBADO;APROBADO
F;MEN18;U;GT3;T;MENOR3;MENOR3;JOB1;JOB1;R2;PADRES;TT1;ST1;NOFALLA;no;yes;yes;no;yes;no;yes;FAMREL2;FT1;GOOUT2;DALC1;WALC1;MALOGRADO;PUNTUAL;JALADO;JALADO;JALADO
F;MEN18;U;GT3;T;MAYOR3;MAYOR3;JOB1;JOB1;R1;PADRES;TT1;ST1;NOFALLA;no;no;no;yes;yes;yes;no;FAMREL2;FT1;GOOUT2;DALC1;WALC1;SANO;INPUNTUAL;APROBADO;APROBADO;APROBADO
